Freq. Range[8,1.299000e+01]
Name;#Ephocs;Fp1;Fpz;Fp2;AF3;AF4;F11;F7;F5;F3;F1;Fz;F2;F4;F6;F8;F12;FT11;FC5;FC3;FC1;FCz;FC2;FC4;FC6;FT12;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPz;CP2;CP4;CP6;TP8;P7;P5;P3;P1;Pz;P2;P4;P6;P8;PO7;PO3;POz;PO4;PO8;O1;Oz;O2;Cb1;Cb2
AC_A4.set;30;1.599175;1.520225;1.530106;1.671628;1.482381;0.532382;0.644221;1.333314;2.014286;2.394878;2.499871;1.967586;1.352968;0.631293;0.197451;0.251061;0.961160;0.829165;1.600668;2.181479;2.197057;1.421111;0.497314;-1.138836;1.615813;-0.977553;-0.610217;0.606599;1.444789;0.572745;-0.439653;-1.204182;-0.871520;0.017062;-2.600124;-1.543777;-0.562498;0.439140;-1.115873;-2.057871;-0.940655;4.398549;4.426498;0.559060;-2.474314;-2.337789;-1.595592;-1.050770;1.909267;5.221517;9.114292;8.346666;4.162781;4.317407;8.306662;11.349400;8.545532;7.931253;9.223189;7.107437;7.642761
AC_B4.set;30;7.557750;7.216830;7.027992;5.842514;5.244156;5.060849;5.699559;5.332524;4.679381;4.608208;6.590688;4.603326;4.355835;3.617857;4.012912;4.898760;6.460512;2.355323;2.382502;2.979819;3.640115;3.049292;2.007934;2.942774;5.860540;2.831544;1.528295;-0.186346;0.591669;2.330014;1.140941;0.728735;1.932798;2.714617;2.306408;1.957314;2.486578;3.493354;5.271646;3.305012;1.004536;3.001076;6.485261;5.008931;4.787049;5.619095;7.628648;7.525235;7.430028;5.360071;6.133857;7.880752;8.075163;9.996637;9.173973;8.488972;7.565655;7.468618;8.044412;6.312833;6.920746
BL_A1.set;30;-1.239021;-1.370244;-1.186912;-1.203594;-1.137544;-1.335962;-1.657449;-1.641860;-1.292586;-0.966528;-0.871809;-1.183990;-1.525763;-1.416967;-0.740010;-1.013870;-0.976209;-1.922759;-2.095342;-1.473000;-1.614736;-2.289588;-2.654552;-3.167709;0.019230;-3.277951;-3.157929;-2.842571;-2.276278;-3.046218;-3.801400;-4.072475;-2.280049;-2.697419;-5.128853;-4.406961;-3.987440;-3.186384;-4.558944;-5.418896;-4.280753;1.255480;0.925371;-1.756529;-4.044256;-4.164267;-4.353227;-4.452949;-2.056927;0.729584;4.306039;4.599008;1.419624;1.116936;3.504430;6.364799;4.995074;4.039236;4.788093;3.539420;3.538519
BL_B1.set;30;5.566405;5.327480;5.433171;3.905674;3.857027;3.291598;3.097697;3.435046;2.886065;3.050522;5.542768;3.480816;4.131736;2.529310;2.475090;2.726780;3.372112;0.188721;1.205897;1.548595;2.810220;3.291882;1.417724;3.315436;4.322294;3.183607;2.089587;-0.564524;-1.284797;0.829083;-0.066609;0.577007;1.344997;3.109754;3.325676;2.214879;-0.459585;0.342552;2.924248;1.078987;1.038586;1.026387;4.944449;4.533218;4.614212;2.790814;4.071677;4.497802;5.840645;4.438886;2.841367;5.714722;6.758795;8.087932;7.759720;5.188948;5.195359;5.329905;5.612240;4.594458;4.858027
