Freq. Range[13,30]
Name;#Ephocs;Fp1;Fpz;Fp2;AF3;AF4;F11;F7;F5;F3;F1;Fz;F2;F4;F6;F8;F12;FT11;FC5;FC3;FC1;FCz;FC2;FC4;FC6;FT12;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPz;CP2;CP4;CP6;TP8;P7;P5;P3;P1;Pz;P2;P4;P6;P8;PO7;PO3;POz;PO4;PO8;O1;Oz;O2;Cb1;Cb2
AC_A4.set;30;-6.612673;-6.792324;-5.945820;-7.265084;-5.832817;-5.306937;-6.256668;-6.655298;-6.933496;-6.947742;-6.732141;-6.746361;-5.913416;-4.280432;-1.889013;-5.372202;-5.098445;-5.677886;-6.731115;-6.490819;-6.191374;-6.080828;-4.752518;-4.604944;-4.648140;-6.165855;-6.521832;-7.138344;-6.225604;-5.908317;-4.077897;-2.212011;-5.542232;-6.331408;-8.515978;-8.401546;-7.683822;-6.592852;-7.250454;-6.757098;-6.713167;-4.116582;-4.921812;-7.256628;-8.478172;-8.076029;-8.741324;-8.104061;-7.243225;-5.606051;-2.747476;-2.330670;-5.248793;-5.705408;-3.769447;-0.970271;-1.956344;-3.071934;-2.428113;-1.809883;-1.860008
AC_B4.set;30;-2.869928;-3.217443;-3.088590;-4.483140;-4.546811;-2.883718;-3.313430;-2.214817;-4.801537;-5.326865;-1.086712;-5.112632;-4.058577;-4.308507;-2.622140;-2.497463;0.379182;-5.290992;-5.314960;-5.995934;-4.097939;-5.266489;-5.623167;-2.712965;-0.953886;-4.866863;-3.636428;-5.092797;-5.931755;-5.428425;-5.433311;-5.001123;-4.538742;-4.542456;-3.012229;-3.292676;-5.096985;-5.105222;-3.441772;-5.261436;-6.054565;-4.599128;-2.126263;-2.871349;-2.709836;-4.394895;-3.776801;-3.651337;-1.233416;-3.158638;-3.229462;-1.075307;-1.505072;-1.208861;-1.011103;-1.124951;-1.889841;-2.441605;-1.533616;-0.531556;0.386461
BL_A1.set;30;-7.561160;-7.513670;-6.230226;-7.684855;-6.045888;-5.619150;-6.034401;-6.902371;-7.142408;-7.536723;-7.271777;-7.187130;-5.996837;-4.024189;-1.663723;-4.759630;-5.280284;-5.295602;-6.833390;-6.952610;-7.124533;-7.657510;-6.437234;-5.788882;-4.483242;-6.331077;-5.247965;-7.103167;-6.850405;-7.944266;-7.557257;-6.213408;-6.554917;-6.354726;-8.821478;-8.665589;-8.296538;-7.924946;-8.696715;-8.382599;-7.884621;-4.486560;-6.118465;-7.941535;-9.046621;-9.246800;-9.352522;-9.103589;-7.999954;-6.651881;-4.374100;-3.204347;-6.258960;-6.672477;-5.196103;-2.523343;-2.355108;-3.750977;-3.138180;-2.032088;-2.316339
BL_B1.set;30;-3.451236;-4.185222;-4.142360;-4.497058;-5.120224;-3.158594;-1.578237;-0.522286;-3.905585;-5.150220;-0.349779;-5.235868;-3.218195;-4.807247;-2.912262;-2.646880;-3.187567;-2.597443;-4.264799;-6.069567;-4.218844;-4.040470;-5.377196;-1.591233;-0.577155;-3.793412;-2.397921;-4.480080;-6.775747;-5.317243;-5.574891;-5.057739;-3.221814;-3.916759;-2.524060;-2.417202;-6.452773;-6.554754;-4.107174;-6.209466;-5.692517;-4.373123;-2.857352;-2.694830;-2.140375;-5.008761;-5.404815;-4.119845;-0.626637;-2.592562;-3.574485;-1.686864;-0.910711;-1.328311;-0.642990;-1.915103;-2.553094;-2.864311;-1.961338;-0.516706;0.583086
