Freq. Range[4,7.990000e+00]
Name;#Ephocs;Fp1;Fpz;Fp2;AF3;AF4;F11;F7;F5;F3;F1;Fz;F2;F4;F6;F8;F12;FT11;FC5;FC3;FC1;FCz;FC2;FC4;FC6;FT12;T7;C5;C3;C1;C2;C4;C6;T8;TP7;CP5;CP3;CP1;CPz;CP2;CP4;CP6;TP8;P7;P5;P3;P1;Pz;P2;P4;P6;P8;PO7;PO3;POz;PO4;PO8;O1;Oz;O2;Cb1;Cb2
AC_A4.set;30;0.152295;-0.175301;0.273226;-1.502495;-1.524076;-1.452152;-2.679586;-2.335108;-2.092226;-1.854225;-1.738538;-2.275155;-2.692322;-2.724041;-2.309976;-0.406067;-0.745484;-3.653091;-3.228625;-2.383123;-2.331383;-3.371813;-4.277489;-5.535799;0.736424;-4.303661;-5.014608;-3.577781;-2.912132;-3.930450;-4.878605;-5.973912;-3.288162;-3.529094;-5.994682;-5.070872;-4.206448;-3.726168;-5.315888;-6.311187;-5.029021;0.260167;-0.563685;-3.936410;-5.936765;-5.448835;-5.744252;-5.755877;-3.606238;-0.337532;3.709478;2.350062;-1.717758;-1.972412;1.640124;5.314496;2.494845;1.774529;3.052782;2.518669;2.629074
AC_B4.set;30;10.508116;9.368390;9.399133;6.353798;5.570915;3.943425;4.508618;4.053927;3.208980;3.373961;5.130076;3.336921;3.879041;2.290044;2.945339;4.394574;5.695917;0.045835;0.823206;1.348393;2.938803;2.004798;0.893118;2.746297;5.758346;1.524964;1.347122;-0.530371;-0.502281;0.296279;-0.593655;0.569137;1.830234;2.021381;2.636588;1.990129;0.466859;0.799209;2.629989;0.059695;-0.376229;2.724812;4.830530;3.376980;3.259692;2.173634;3.429108;3.742271;5.245953;3.565971;4.727449;5.949916;5.280147;5.453450;5.895968;5.894883;5.232094;4.290438;4.896587;5.814269;5.399121
BL_A1.set;30;-3.162872;-3.230475;-2.878394;-3.751727;-3.556269;-2.028730;-3.803940;-4.464857;-4.374484;-3.831943;-3.633436;-3.936576;-4.275155;-3.817630;-2.616201;-1.652962;-1.160867;-4.948768;-5.361271;-4.819052;-4.793076;-5.490749;-5.799178;-6.726208;-0.611937;-4.604659;-6.139412;-5.986258;-5.509600;-6.212131;-7.125615;-6.637674;-4.561832;-4.763056;-7.630927;-7.539123;-5.610908;-6.310206;-7.471098;-7.755135;-7.478585;-2.679961;-3.286667;-6.228392;-7.526690;-7.544728;-8.031215;-7.941758;-6.766714;-4.684394;-0.960918;-0.746541;-3.934066;-4.191894;-2.623369;0.267359;-0.509079;-1.533876;-0.977067;0.010777;-0.273133
BL_B1.set;30;8.773698;7.982237;8.421915;4.707243;4.961815;3.493099;3.122785;3.030064;2.400805;1.975564;4.567297;2.860924;4.263091;1.860134;3.265475;3.765493;3.795035;-1.605638;0.979313;-0.212587;2.467669;2.626883;0.650251;4.631631;5.773570;2.347859;2.299072;0.125862;-1.424662;0.110342;-0.592421;-0.329582;1.911587;3.161930;4.171039;3.228442;-0.641320;-0.849745;2.129474;-1.011515;-0.625217;1.162483;3.532963;3.445547;3.754361;1.546296;1.654422;2.585680;5.806331;3.612197;1.279473;4.310936;5.464865;5.661527;5.396176;2.802356;3.734928;2.600725;2.791931;4.301108;4.292759
